locale;position_ID;title
en;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa1;Propulsion Specialist
en;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa2;Hull Systems Engineer
en;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa3;Route Navigator
en;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb1;Propulsion Specialist
en;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb2;Wormhole Pilot
en;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb3;Cargo Quartermaster
de;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa1;Antriebsspezialist
de;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa2;Hüllensystemingenieur
de;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa3;Routennnavigator
de;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb1;Antriebsspezialist
de;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb2;Wurmloch-Pilot
de;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbb3;Frachtquartiermeister
